model_name,model_type,metric,mean,std_dev
AC-4.keras,Plain Model,classification_accuracy,0.8399529122735183,0.004125243496676067
AC-4.keras,Plain Model,balanced_accuracy,0.7541889361780117,0.03385316504691958
AC-4.keras,Plain Model,disparate_impact,0.3287668022351015,0.036673659844297345
AC-4.keras,Plain Model,equal_opportunity_difference,-0.07078061540579612,0.047927585126357225
AC-4.keras,Plain Model,average_odds_difference,-0.07770132522040545,0.041993751013485424
AC-4.keras,Plain Model,precision,0.7956169960814764,0.017033381194319335
AC-4.keras,Plain Model,recall,0.7541889361780117,0.03385316504691958
AC-4.keras,Plain Model,f1,0.7660115897378079,0.017957104942696103
AC-4.keras,Debiased Model,classification_accuracy,0.8498618077592385,0.002431908553901877
AC-4.keras,Debiased Model,balanced_accuracy,0.7619050949113888,0.022701371028212982
AC-4.keras,Debiased Model,disparate_impact,0.37791024148508967,0.05949292296395356
AC-4.keras,Debiased Model,equal_opportunity_difference,-0.02270117711846904,0.0672340213956179
AC-4.keras,Debiased Model,average_odds_difference,-0.0430353700674619,0.047895306978412384
AC-4.keras,Debiased Model,precision,0.8094681337953384,0.01153909615736988
AC-4.keras,Debiased Model,recall,0.7619050949113888,0.022701371028212982
AC-4.keras,Debiased Model,f1,0.7787424884233726,0.011086331196794174
AC-5.keras,Plain Model,classification_accuracy,0.8421742245879825,0.0026209341746363337
AC-5.keras,Plain Model,balanced_accuracy,0.7426281889373236,0.025252536774024125
AC-5.keras,Plain Model,disparate_impact,0.3214287177574761,0.04410218043488998
AC-5.keras,Plain Model,equal_opportunity_difference,-0.07488676258002344,0.052369558169960445
AC-5.keras,Plain Model,average_odds_difference,-0.07271143922068905,0.03941540897043587
AC-5.keras,Plain Model,precision,0.8024246076754368,0.012724699703410829
AC-5.keras,Plain Model,recall,0.7426281889373236,0.025252536774024125
AC-5.keras,Plain Model,f1,0.7621857677308318,0.014791346921972657
AC-5.keras,Debiased Model,classification_accuracy,0.8486231958235235,0.0010956362502004152
AC-5.keras,Debiased Model,balanced_accuracy,0.7711578313135705,0.011550387749868714
AC-5.keras,Debiased Model,disparate_impact,0.3474497832177461,0.029548488184246866
AC-5.keras,Debiased Model,equal_opportunity_difference,-0.05827424795208921,0.02963452398737098
AC-5.keras,Debiased Model,average_odds_difference,-0.06774969339658443,0.019240965351810725
AC-5.keras,Debiased Model,precision,0.7998061587691241,0.0047627358575992014
AC-5.keras,Debiased Model,recall,0.7711578313135705,0.011550387749868714
AC-5.keras,Debiased Model,f1,0.783108195524802,0.005652918543253436
AC-12.keras,Plain Model,classification_accuracy,0.8425325007677346,0.0012604157292283886
