Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,-1.000000,87.000000,13.000000,0.000000,0.777835,0.007778
AC-1.onnx,0.000000,88.000000,12.000000,0.000000,0.676211,0.006762
AC-1.onnx,0.020000,83.000000,17.000000,0.000000,1.089363,0.010894
AC-1.onnx,0.030000,78.000000,22.000000,0.000000,1.404544,0.014045
AC-1.onnx,0.050000,70.000000,30.000000,0.000000,1.903334,0.019033
AC-1.onnx,0.070000,57.000000,43.000000,0.000000,2.642850,0.026429
AC-1.onnx,0.100000,49.000000,51.000000,0.000000,4.059370,0.040594
AC-10.onnx,-1.000000,89.000000,11.000000,0.000000,0.765159,0.007652
AC-10.onnx,0.000000,87.000000,13.000000,0.000000,0.773279,0.007733
AC-10.onnx,0.020000,81.000000,19.000000,0.000000,1.466157,0.014662
AC-10.onnx,0.030000,82.000000,18.000000,0.000000,2.264080,0.022641
AC-10.onnx,0.050000,75.000000,25.000000,0.000000,3.050601,0.030506
AC-10.onnx,0.070000,70.000000,30.000000,0.000000,4.528459,0.045285
AC-10.onnx,0.100000,63.000000,37.000000,0.000000,7.975277,0.079753
AC-3.onnx,-1.000000,88.000000,12.000000,0.000000,0.593355,0.005934
AC-3.onnx,0.000000,91.000000,9.000000,0.000000,0.596206,0.005962
AC-3.onnx,0.020000,86.000000,14.000000,0.000000,4.241125,0.042411
AC-3.onnx,0.030000,86.000000,14.000000,0.000000,7.457610,0.074576
AC-3.onnx,0.050000,83.000000,17.000000,0.000000,16.199394,0.161994
AC-3.onnx,0.070000,84.000000,16.000000,0.000000,27.633968,0.276340
AC-3.onnx,0.100000,79.000000,21.000000,0.000000,65.189969,0.651900
AC-4.onnx,-1.000000,88.000000,12.000000,0.000000,0.682467,0.006825
AC-4.onnx,0.000000,91.000000,9.000000,0.000000,0.679488,0.006795
AC-4.onnx,0.020000,83.000000,17.000000,0.000000,6.901964,0.069020
AC-4.onnx,0.030000,85.000000,15.000000,0.000000,16.192391,0.161924
AC-4.onnx,0.050000,80.000000,20.000000,0.000000,63.754637,0.637546
AC-4.onnx,0.070000,73.000000,27.000000,0.000000,173.434034,1.734340
AC-4.onnx,0.100000,48.000000,52.000000,0.000000,514.576338,5.145763
AC-5.onnx,-1.000000,89.000000,11.000000,0.000000,0.661460,0.006615
AC-5.onnx,0.000000,87.000000,13.000000,0.000000,0.669899,0.006699
AC-5.onnx,0.020000,83.000000,17.000000,0.000000,10.218916,0.102189
AC-5.onnx,0.030000,83.000000,17.000000,0.000000,24.981307,0.249813
AC-5.onnx,0.050000,79.000000,21.000000,0.000000,92.398775,0.923988
AC-5.onnx,0.070000,76.000000,24.000000,0.000000,244.354206,2.443542
AC-5.onnx,0.100000,51.000000,31.000000,18.000000,602.776191,6.027762
