Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,-1.000000,90.000000,10.000000,0.000000,1.173974,0.011740
AC-1.onnx,0.000000,89.000000,11.000000,0.000000,0.958465,0.009585
AC-1.onnx,0.020000,85.000000,15.000000,0.000000,1.171878,0.011719
AC-1.onnx,0.030000,83.000000,17.000000,0.000000,1.443730,0.014437
AC-1.onnx,0.050000,76.000000,24.000000,0.000000,1.807048,0.018070
AC-1.onnx,0.070000,61.000000,39.000000,0.000000,2.869091,0.028691
AC-1.onnx,0.100000,47.000000,53.000000,0.000000,4.878778,0.048788
AC-10.onnx,-1.000000,89.000000,11.000000,0.000000,0.894594,0.008946
AC-10.onnx,0.000000,88.000000,12.000000,0.000000,0.844678,0.008447
AC-10.onnx,0.020000,85.000000,15.000000,0.000000,1.532420,0.015324
AC-10.onnx,0.030000,82.000000,18.000000,0.000000,1.945028,0.019450
AC-10.onnx,0.050000,80.000000,20.000000,0.000000,2.847746,0.028477
AC-10.onnx,0.070000,74.000000,26.000000,0.000000,4.346271,0.043463
AC-10.onnx,0.100000,73.000000,27.000000,0.000000,8.209505,0.082095
AC-3.onnx,-1.000000,87.000000,13.000000,0.000000,0.676492,0.006765
AC-3.onnx,0.000000,87.000000,13.000000,0.000000,0.670281,0.006703
AC-3.onnx,0.020000,86.000000,14.000000,0.000000,3.915821,0.039158
AC-3.onnx,0.030000,86.000000,14.000000,0.000000,6.794245,0.067942
AC-3.onnx,0.050000,84.000000,16.000000,0.000000,14.119319,0.141193
AC-3.onnx,0.070000,84.000000,16.000000,0.000000,28.154106,0.281541
AC-3.onnx,0.100000,81.000000,19.000000,0.000000,75.418929,0.754189
AC-4.onnx,-1.000000,88.000000,12.000000,0.000000,0.766834,0.007668
AC-4.onnx,0.000000,88.000000,12.000000,0.000000,0.779160,0.007792
AC-4.onnx,0.020000,86.000000,14.000000,0.000000,6.063709,0.060637
AC-4.onnx,0.030000,81.000000,19.000000,0.000000,13.131687,0.131317
AC-4.onnx,0.050000,82.000000,18.000000,0.000000,58.634171,0.586342
AC-4.onnx,0.070000,77.000000,23.000000,0.000000,154.135830,1.541358
AC-4.onnx,0.100000,22.000000,14.000000,64.000000,159.025748,1.590257
AC-5.onnx,-1.000000,90.000000,10.000000,0.000000,0.730018,0.007300
AC-5.onnx,0.000000,88.000000,12.000000,0.000000,0.737637,0.007376
AC-5.onnx,0.020000,87.000000,13.000000,0.000000,8.077653,0.080777
AC-5.onnx,0.030000,86.000000,14.000000,0.000000,21.289986,0.212900
AC-5.onnx,0.050000,83.000000,17.000000,0.000000,89.121650,0.891217
AC-5.onnx,0.070000,77.000000,23.000000,0.000000,247.457714,2.474577
AC-5.onnx,0.100000,59.000000,28.000000,13.000000,601.001217,6.010012
