Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,-1.000000,90.000000,10.000000,0.000000,0.955497,0.009555
AC-1.onnx,0.000000,89.000000,11.000000,0.000000,0.698934,0.006989
AC-1.onnx,0.020000,85.000000,15.000000,0.000000,0.930524,0.009305
AC-1.onnx,0.030000,83.000000,17.000000,0.000000,1.141005,0.011410
AC-1.onnx,0.050000,76.000000,24.000000,0.000000,1.526619,0.015266
AC-1.onnx,0.070000,61.000000,39.000000,0.000000,2.421783,0.024218
AC-1.onnx,0.100000,47.000000,53.000000,0.000000,4.064962,0.040650
AC-10.onnx,-1.000000,89.000000,11.000000,0.000000,0.816127,0.008161
AC-10.onnx,0.000000,88.000000,12.000000,0.000000,0.803458,0.008035
AC-10.onnx,0.020000,85.000000,15.000000,0.000000,1.354095,0.013541
AC-10.onnx,0.030000,82.000000,18.000000,0.000000,1.704498,0.017045
AC-10.onnx,0.050000,80.000000,20.000000,0.000000,2.480797,0.024808
AC-10.onnx,0.070000,74.000000,26.000000,0.000000,3.780038,0.037800
AC-10.onnx,0.100000,73.000000,27.000000,0.000000,7.184256,0.071843
AC-3.onnx,-1.000000,87.000000,13.000000,0.000000,0.622554,0.006226
AC-3.onnx,0.000000,87.000000,13.000000,0.000000,0.609068,0.006091
AC-3.onnx,0.020000,86.000000,14.000000,0.000000,3.257454,0.032575
AC-3.onnx,0.030000,86.000000,14.000000,0.000000,5.417256,0.054173
AC-3.onnx,0.050000,84.000000,16.000000,0.000000,11.939542,0.119395
AC-3.onnx,0.070000,84.000000,16.000000,0.000000,24.863828,0.248638
AC-3.onnx,0.100000,81.000000,19.000000,0.000000,66.122582,0.661226
AC-4.onnx,-1.000000,88.000000,12.000000,0.000000,0.693224,0.006932
AC-4.onnx,0.000000,88.000000,12.000000,0.000000,0.674962,0.006750
AC-4.onnx,0.020000,86.000000,14.000000,0.000000,5.074730,0.050747
AC-4.onnx,0.030000,81.000000,19.000000,0.000000,10.983049,0.109830
AC-4.onnx,0.050000,82.000000,18.000000,0.000000,48.593797,0.485938
AC-4.onnx,0.070000,77.000000,23.000000,0.000000,132.170381,1.321704
AC-4.onnx,0.100000,58.000000,42.000000,0.000000,368.519695,3.685197
AC-5.onnx,-1.000000,90.000000,10.000000,0.000000,0.729371,0.007294
AC-5.onnx,0.000000,88.000000,12.000000,0.000000,0.677761,0.006778
AC-5.onnx,0.020000,87.000000,13.000000,0.000000,6.810102,0.068101
AC-5.onnx,0.030000,86.000000,14.000000,0.000000,17.926065,0.179261
AC-5.onnx,0.050000,83.000000,17.000000,0.000000,75.513552,0.755136
AC-5.onnx,0.070000,77.000000,23.000000,0.000000,222.428723,2.224287
AC-5.onnx,0.100000,64.000000,31.000000,5.000000,615.021420,6.150214
