Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
BM-3.onnx,-1.000000,85.000000,15.000000,0.000000,0.585909,0.005859
BM-3.onnx,0.000000,86.000000,14.000000,0.000000,0.594356,0.005944
BM-3.onnx,0.020000,85.000000,15.000000,0.000000,4.166749,0.041667
BM-3.onnx,0.030000,84.000000,16.000000,0.000000,8.389779,0.083898
BM-3.onnx,0.050000,84.000000,16.000000,0.000000,23.946877,0.239469
BM-3.onnx,0.070000,85.000000,15.000000,0.000000,48.556940,0.485569
BM-3.onnx,0.100000,85.000000,15.000000,0.000000,111.744602,1.117446
BM-4.onnx,-1.000000,83.000000,17.000000,0.000000,0.866634,0.008666
BM-4.onnx,0.000000,84.000000,16.000000,0.000000,0.848650,0.008487
BM-4.onnx,0.020000,85.000000,15.000000,0.000000,32.826260,0.328263
BM-4.onnx,0.030000,84.000000,16.000000,0.000000,117.100085,1.171001
BM-4.onnx,0.050000,56.000000,11.000000,33.000000,625.338221,6.253382
BM-4.onnx,0.070000,27.000000,4.000000,69.000000,600.040393,6.000404
BM-4.onnx,0.100000,4.000000,1.000000,95.000000,608.345369,6.083454
BM-5.onnx,-1.000000,86.000000,14.000000,0.000000,0.657172,0.006572
BM-5.onnx,0.000000,87.000000,13.000000,0.000000,0.663215,0.006632
BM-5.onnx,0.020000,87.000000,13.000000,0.000000,0.903070,0.009031
BM-5.onnx,0.030000,86.000000,14.000000,0.000000,1.086178,0.010862
BM-5.onnx,0.050000,86.000000,14.000000,0.000000,1.297991,0.012980
BM-5.onnx,0.070000,85.000000,15.000000,0.000000,1.834806,0.018348
BM-5.onnx,0.100000,85.000000,15.000000,0.000000,2.585217,0.025852
BM-6.onnx,-1.000000,86.000000,14.000000,0.000000,0.642679,0.006427
BM-6.onnx,0.000000,86.000000,14.000000,0.000000,0.648307,0.006483
BM-6.onnx,0.020000,86.000000,14.000000,0.000000,0.723375,0.007234
BM-6.onnx,0.030000,86.000000,14.000000,0.000000,0.791199,0.007912
BM-6.onnx,0.050000,85.000000,15.000000,0.000000,0.904661,0.009047
BM-6.onnx,0.070000,85.000000,15.000000,0.000000,1.091351,0.010914
BM-6.onnx,0.100000,84.000000,16.000000,0.000000,1.254926,0.012549
BM-7.onnx,-1.000000,84.000000,16.000000,0.000000,0.694344,0.006943
BM-7.onnx,0.000000,84.000000,16.000000,0.000000,0.699374,0.006994
BM-7.onnx,0.020000,84.000000,16.000000,0.000000,9.122508,0.091225
BM-7.onnx,0.030000,84.000000,16.000000,0.000000,20.380682,0.203807
BM-7.onnx,0.050000,83.000000,17.000000,0.000000,66.227185,0.662272
BM-7.onnx,0.070000,83.000000,17.000000,0.000000,187.930786,1.879308
BM-7.onnx,0.100000,73.000000,13.000000,14.000000,602.717990,6.027180

