Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
GC-1.onnx,-1.000000,78.000000,22.000000,0.000000,0.717837,0.007178
GC-1.onnx,0.000000,76.000000,24.000000,0.000000,0.640352,0.006404
GC-1.onnx,0.001000,76.000000,24.000000,0.000000,0.691664,0.006917
GC-1.onnx,0.010000,75.000000,25.000000,0.000000,1.422689,0.014227
GC-1.onnx,0.050000,73.000000,27.000000,0.000000,10.034911,0.100349
GC-2.onnx,-1.000000,78.000000,22.000000,0.000000,0.787691,0.007877
GC-2.onnx,0.000000,76.000000,24.000000,0.000000,0.887505,0.008875
GC-2.onnx,0.001000,76.000000,24.000000,0.000000,0.994640,0.009946
GC-2.onnx,0.010000,76.000000,24.000000,0.000000,2.575330,0.025753
GC-2.onnx,0.050000,75.000000,25.000000,0.000000,67.649829,0.676498
GC-3.onnx,-1.000000,75.000000,25.000000,0.000000,0.583820,0.005838
GC-3.onnx,0.000000,71.000000,29.000000,0.000000,0.567301,0.005673
GC-3.onnx,0.001000,71.000000,29.000000,0.000000,0.574074,0.005741
GC-3.onnx,0.010000,71.000000,29.000000,0.000000,0.621319,0.006213
GC-3.onnx,0.050000,64.000000,36.000000,0.000000,0.811967,0.008120
GC-4.onnx,-1.000000,69.000000,31.000000,0.000000,0.636630,0.006366
GC-4.onnx,0.000000,69.000000,31.000000,0.000000,0.628405,0.006284
GC-4.onnx,0.001000,69.000000,31.000000,0.000000,0.637412,0.006374
GC-4.onnx,0.010000,69.000000,31.000000,0.000000,0.676221,0.006762
GC-4.onnx,0.050000,69.000000,31.000000,0.000000,0.934873,0.009349
GC-5.onnx,-1.000000,69.000000,31.000000,0.000000,1.026425,0.010264
GC-5.onnx,0.000000,69.000000,31.000000,0.000000,1.016563,0.010166
GC-5.onnx,0.001000,69.000000,31.000000,0.000000,1.173825,0.011738
GC-5.onnx,0.010000,69.000000,31.000000,0.000000,2.938012,0.029380
GC-5.onnx,0.050000,69.000000,31.000000,0.000000,52.498810,0.524988
