Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
GC-1.onnx,-1.000000,81.000000,19.000000,0.000000,0.817200,0.008172
GC-1.onnx,0.000000,76.000000,24.000000,0.000000,0.701366,0.007014
GC-1.onnx,0.020000,74.000000,26.000000,0.000000,2.237508,0.022375
GC-1.onnx,0.030000,73.000000,27.000000,0.000000,3.685928,0.036859
GC-1.onnx,0.050000,71.000000,29.000000,0.000000,8.483058,0.084831
GC-1.onnx,0.070000,72.000000,28.000000,0.000000,17.511091,0.175111
GC-1.onnx,0.100000,68.000000,32.000000,0.000000,42.115414,0.421154
GC-2.onnx,-1.000000,79.000000,21.000000,0.000000,0.629223,0.006292
GC-2.onnx,0.000000,69.000000,31.000000,0.000000,0.798159,0.007982
GC-2.onnx,0.020000,68.000000,32.000000,0.000000,6.800187,0.068002
GC-2.onnx,0.030000,67.000000,33.000000,0.000000,15.157807,0.151578
GC-2.onnx,0.050000,65.000000,35.000000,0.000000,67.765603,0.677656
GC-2.onnx,0.070000,64.000000,36.000000,0.000000,231.881794,2.318818
GC-2.onnx,0.100000,61.000000,29.000000,10.000000,1030.716806,10.307168
GC-3.onnx,-1.000000,76.000000,24.000000,0.000000,0.614911,0.006149
GC-3.onnx,0.000000,76.000000,24.000000,0.000000,0.596925,0.005969
GC-3.onnx,0.020000,74.000000,26.000000,0.000000,0.878849,0.008788
GC-3.onnx,0.030000,72.000000,28.000000,0.000000,0.991033,0.009910
GC-3.onnx,0.050000,68.000000,32.000000,0.000000,1.363122,0.013631
GC-3.onnx,0.070000,68.000000,32.000000,0.000000,1.751754,0.017518
GC-3.onnx,0.100000,61.000000,39.000000,0.000000,2.149477,0.021495
GC-4.onnx,-1.000000,69.000000,31.000000,0.000000,0.641128,0.006411
GC-4.onnx,0.000000,69.000000,31.000000,0.000000,0.639425,0.006394
GC-4.onnx,0.020000,69.000000,31.000000,0.000000,0.793312,0.007933
GC-4.onnx,0.030000,69.000000,31.000000,0.000000,0.840602,0.008406
GC-4.onnx,0.050000,69.000000,31.000000,0.000000,0.956681,0.009567
GC-4.onnx,0.070000,69.000000,31.000000,0.000000,1.063072,0.010631
GC-4.onnx,0.100000,69.000000,31.000000,0.000000,1.277398,0.012774
GC-5.onnx,-1.000000,69.000000,31.000000,0.000000,1.014355,0.010144
GC-5.onnx,0.000000,69.000000,31.000000,0.000000,1.073725,0.010737
GC-5.onnx,0.020000,69.000000,31.000000,0.000000,6.518535,0.065185
GC-5.onnx,0.030000,69.000000,31.000000,0.000000,13.733085,0.137331
GC-5.onnx,0.050000,69.000000,31.000000,0.000000,47.062652,0.470627
GC-5.onnx,0.070000,69.000000,31.000000,0.000000,130.443201,1.304432
GC-5.onnx,0.100000,69.000000,31.000000,0.000000,428.780354,4.287804
