Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
GC-1.onnx,-1.000000,75.000000,25.000000,0.000000,0.684562,0.006846
GC-1.onnx,0.000000,74.000000,26.000000,0.000000,0.621329,0.006213
GC-1.onnx,0.001000,74.000000,26.000000,0.000000,0.649014,0.006490
GC-1.onnx,0.010000,73.000000,27.000000,0.000000,1.555657,0.015557
GC-1.onnx,0.050000,68.000000,32.000000,0.000000,8.173339,0.081733
GC-2.onnx,-1.000000,77.000000,23.000000,0.000000,0.720490,0.007205
GC-2.onnx,0.000000,78.000000,22.000000,0.000000,0.679092,0.006791
GC-2.onnx,0.001000,78.000000,22.000000,0.000000,0.775797,0.007758
GC-2.onnx,0.010000,77.000000,23.000000,0.000000,2.571987,0.025720
GC-2.onnx,0.050000,75.000000,25.000000,0.000000,70.966323,0.709663
GC-3.onnx,-1.000000,71.000000,29.000000,0.000000,0.563173,0.005632
GC-3.onnx,0.000000,75.000000,25.000000,0.000000,0.562015,0.005620
GC-3.onnx,0.001000,75.000000,25.000000,0.000000,0.571403,0.005714
GC-3.onnx,0.010000,75.000000,25.000000,0.000000,0.604218,0.006042
GC-3.onnx,0.050000,67.000000,33.000000,0.000000,0.801126,0.008011
GC-4.onnx,-1.000000,69.000000,31.000000,0.000000,0.629515,0.006295
GC-4.onnx,0.000000,69.000000,31.000000,0.000000,0.623961,0.006240
GC-4.onnx,0.001000,69.000000,31.000000,0.000000,0.632890,0.006329
GC-4.onnx,0.010000,69.000000,31.000000,0.000000,0.673051,0.006731
GC-4.onnx,0.050000,69.000000,31.000000,0.000000,0.930737,0.009307
GC-5.onnx,-1.000000,69.000000,31.000000,0.000000,0.997401,0.009974
GC-5.onnx,0.000000,69.000000,31.000000,0.000000,0.950936,0.009509
GC-5.onnx,0.001000,69.000000,31.000000,0.000000,1.133065,0.011331
GC-5.onnx,0.010000,69.000000,31.000000,0.000000,2.854494,0.028545
GC-5.onnx,0.050000,69.000000,31.000000,0.000000,48.141493,0.481415
