Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
GC-1.onnx,-1.000000,76.000000,24.000000,0.000000,0.710197,0.007102
GC-1.onnx,0.000000,74.000000,26.000000,0.000000,0.713139,0.007131
GC-1.onnx,0.020000,70.000000,30.000000,0.000000,2.243786,0.022438
GC-1.onnx,0.030000,68.000000,32.000000,0.000000,3.718468,0.037185
GC-1.onnx,0.050000,67.000000,33.000000,0.000000,9.126287,0.091263
GC-1.onnx,0.070000,69.000000,31.000000,0.000000,20.358496,0.203585
GC-1.onnx,0.100000,69.000000,31.000000,0.000000,47.367214,0.473672
GC-2.onnx,-1.000000,77.000000,23.000000,0.000000,0.723361,0.007234
GC-2.onnx,0.000000,77.000000,23.000000,0.000000,0.782531,0.007825
GC-2.onnx,0.020000,74.000000,26.000000,0.000000,5.900369,0.059004
GC-2.onnx,0.030000,73.000000,27.000000,0.000000,12.406089,0.124061
GC-2.onnx,0.050000,75.000000,25.000000,0.000000,51.574862,0.515749
GC-2.onnx,0.070000,73.000000,27.000000,0.000000,169.123110,1.691231
GC-2.onnx,0.100000,67.000000,23.000000,10.000000,610.596560,6.105966
GC-3.onnx,-1.000000,74.000000,26.000000,0.000000,0.556012,0.005560
GC-3.onnx,0.000000,74.000000,26.000000,0.000000,0.561638,0.005616
GC-3.onnx,0.020000,70.000000,30.000000,0.000000,0.599775,0.005998
GC-3.onnx,0.030000,69.000000,31.000000,0.000000,0.643479,0.006435
GC-3.onnx,0.050000,63.000000,37.000000,0.000000,0.698855,0.006989
GC-3.onnx,0.070000,60.000000,40.000000,0.000000,0.785148,0.007851
GC-3.onnx,0.100000,57.000000,43.000000,0.000000,0.884919,0.008849
GC-4.onnx,-1.000000,69.000000,31.000000,0.000000,0.623058,0.006231
GC-4.onnx,0.000000,69.000000,31.000000,0.000000,0.628200,0.006282
GC-4.onnx,0.020000,69.000000,31.000000,0.000000,0.754230,0.007542
GC-4.onnx,0.030000,69.000000,31.000000,0.000000,0.814483,0.008145
GC-4.onnx,0.050000,69.000000,31.000000,0.000000,0.925312,0.009253
GC-4.onnx,0.070000,69.000000,31.000000,0.000000,1.028586,0.010286
GC-4.onnx,0.100000,69.000000,31.000000,0.000000,1.234856,0.012349
GC-5.onnx,-1.000000,69.000000,31.000000,0.000000,0.979488,0.009795
GC-5.onnx,0.000000,69.000000,31.000000,0.000000,1.057015,0.010570
GC-5.onnx,0.020000,69.000000,31.000000,0.000000,5.754639,0.057546
GC-5.onnx,0.030000,69.000000,31.000000,0.000000,11.683327,0.116833
GC-5.onnx,0.050000,69.000000,31.000000,0.000000,37.236436,0.372364
GC-5.onnx,0.070000,69.000000,31.000000,0.000000,111.388851,1.113889
GC-5.onnx,0.100000,69.000000,31.000000,0.000000,394.259162,3.942592
