Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,0.000000,88.000000,12.000000,0.000000,0.763531,0.007635
AC-1.onnx,0.020000,82.000000,18.000000,0.000000,1.413565,0.014136
AC-1.onnx,0.030000,69.000000,31.000000,0.000000,1.637667,0.016377
AC-1.onnx,0.050000,58.000000,42.000000,0.000000,2.276609,0.022766
AC-1.onnx,0.070000,41.000000,59.000000,0.000000,3.078092,0.030781
AC-1.onnx,0.100000,14.000000,86.000000,0.000000,4.805514,0.048055
AC-3.onnx,0.000000,91.000000,9.000000,0.000000,0.623688,0.006237
AC-3.onnx,0.020000,84.000000,16.000000,0.000000,6.092511,0.060925
AC-3.onnx,0.030000,77.000000,23.000000,0.000000,9.728314,0.097283
AC-3.onnx,0.050000,61.000000,39.000000,0.000000,21.409290,0.214093
AC-3.onnx,0.070000,50.000000,50.000000,0.000000,32.097153,0.320972
AC-3.onnx,0.100000,13.000000,87.000000,0.000000,75.163233,0.751632
AC-4.onnx,0.000000,91.000000,9.000000,0.000000,0.749677,0.007497
AC-4.onnx,0.020000,80.000000,20.000000,0.000000,9.248588,0.092486
AC-4.onnx,0.030000,75.000000,25.000000,0.000000,20.822302,0.208223
AC-4.onnx,0.050000,61.000000,39.000000,0.000000,78.726357,0.787264
AC-4.onnx,0.070000,37.000000,63.000000,0.000000,204.822352,2.048224
AC-4.onnx,0.100000,4.000000,96.000000,0.000000,588.783325,5.887833
