Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,0.000000,89.000000,11.000000,0.000000,0.736445,0.007364
AC-1.onnx,0.020000,84.000000,16.000000,0.000000,0.934135,0.009341
AC-1.onnx,0.030000,81.000000,19.000000,0.000000,1.180727,0.011807
AC-1.onnx,0.050000,69.000000,31.000000,0.000000,1.544812,0.015448
AC-1.onnx,0.070000,50.000000,50.000000,0.000000,2.389796,0.023898
AC-1.onnx,0.100000,22.000000,78.000000,0.000000,3.904604,0.039046
AC-10.onnx,0.000000,88.000000,12.000000,0.000000,0.753187,0.007532
AC-10.onnx,0.020000,84.000000,16.000000,0.000000,1.458797,0.014588
AC-10.onnx,0.030000,78.000000,22.000000,0.000000,1.892587,0.018926
AC-10.onnx,0.050000,71.000000,29.000000,0.000000,2.697782,0.026978
AC-10.onnx,0.070000,50.000000,50.000000,0.000000,3.916527,0.039165
AC-10.onnx,0.100000,26.000000,74.000000,0.000000,6.958753,0.069588
AC-11.onnx,0.000000,87.000000,13.000000,0.000000,0.743004,0.007430
AC-11.onnx,0.020000,86.000000,14.000000,0.000000,6.194870,0.061949
AC-11.onnx,0.030000,84.000000,16.000000,0.000000,11.237642,0.112376
AC-11.onnx,0.050000,77.000000,23.000000,0.000000,29.852568,0.298526
AC-11.onnx,0.070000,68.000000,32.000000,0.000000,67.271153,0.672712
AC-11.onnx,0.100000,35.000000,65.000000,0.000000,222.054571,2.220546
AC-12.onnx,0.000000,89.000000,11.000000,0.000000,1.236059,0.012361
AC-12.onnx,0.020000,85.000000,15.000000,0.000000,7.291151,0.072912
AC-12.onnx,0.030000,82.000000,18.000000,0.000000,12.747047,0.127470
AC-12.onnx,0.050000,75.000000,25.000000,0.000000,35.094698,0.350947
AC-12.onnx,0.070000,59.000000,41.000000,0.000000,85.750120,0.857501
AC-12.onnx,0.100000,17.000000,83.000000,0.000000,220.776248,2.207762
AC-3.onnx,0.000000,87.000000,13.000000,0.000000,0.598925,0.005989
AC-3.onnx,0.020000,84.000000,16.000000,0.000000,4.284143,0.042841
AC-3.onnx,0.030000,82.000000,18.000000,0.000000,7.585045,0.075850
AC-3.onnx,0.050000,71.000000,29.000000,0.000000,16.088805,0.160888
AC-3.onnx,0.070000,50.000000,50.000000,0.000000,30.538768,0.305388
AC-3.onnx,0.100000,27.000000,73.000000,0.000000,75.731591,0.757316
AC-4.onnx,0.000000,88.000000,12.000000,0.000000,0.830263,0.008303
AC-4.onnx,0.020000,83.000000,17.000000,0.000000,7.463517,0.074635
AC-4.onnx,0.030000,79.000000,21.000000,0.000000,15.589908,0.155899
AC-4.onnx,0.050000,71.000000,29.000000,0.000000,62.274733,0.622747
AC-4.onnx,0.070000,43.000000,57.000000,0.000000,153.962005,1.539620
AC-4.onnx,0.100000,5.000000,95.000000,0.000000,428.709304,4.287093
AC-5.onnx,0.000000,88.000000,12.000000,0.000000,0.741512,0.007415
AC-5.onnx,0.020000,85.000000,15.000000,0.000000,9.560947,0.095609
AC-5.onnx,0.030000,80.000000,20.000000,0.000000,23.945180,0.239452
AC-5.onnx,0.050000,70.000000,30.000000,0.000000,93.121629,0.931216
AC-5.onnx,0.070000,42.000000,58.000000,0.000000,247.979296,2.479793
AC-5.onnx,0.100000,7.000000,78.000000,15.000000,601.044201,6.010442
