Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
BM-5.onnx,0.000000,89.000000,11.000000,0.000000,0.785567,0.007856
BM-5.onnx,0.020000,87.000000,13.000000,0.000000,1.129556,0.011296
BM-5.onnx,0.030000,85.000000,15.000000,0.000000,1.518208,0.015182
BM-5.onnx,0.050000,85.000000,15.000000,0.000000,1.855086,0.018551
BM-5.onnx,0.070000,85.000000,15.000000,0.000000,2.382288,0.023823
BM-5.onnx,0.100000,85.000000,15.000000,0.000000,3.534278,0.035343
BM-6.onnx,0.000000,85.000000,15.000000,0.000000,1.002344,0.010023
BM-6.onnx,0.020000,85.000000,15.000000,0.000000,1.033516,0.010335
BM-6.onnx,0.030000,85.000000,15.000000,0.000000,0.905484,0.009055
BM-6.onnx,0.050000,84.000000,16.000000,0.000000,1.052512,0.010525
BM-6.onnx,0.070000,83.000000,17.000000,0.000000,1.188786,0.011888
BM-6.onnx,0.100000,82.000000,18.000000,0.000000,1.410742,0.014107
BM-7.onnx,0.000000,84.000000,16.000000,0.000000,0.908048,0.009080
BM-7.onnx,0.020000,81.000000,19.000000,0.000000,10.402276,0.104023
BM-7.onnx,0.030000,81.000000,19.000000,0.000000,26.178982,0.261790
BM-7.onnx,0.050000,81.000000,19.000000,0.000000,87.659666,0.876597
BM-7.onnx,0.070000,79.000000,21.000000,0.000000,227.387231,2.273872
BM-7.onnx,0.100000,69.000000,17.000000,14.000000,616.677531,6.166775
