Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
GC-1.onnx,0.000000,74.000000,26.000000,0.000000,0.800947,0.008009
GC-1.onnx,0.020000,68.000000,32.000000,0.000000,3.234424,0.032344
GC-1.onnx,0.030000,66.000000,34.000000,0.000000,4.847332,0.048473
GC-1.onnx,0.050000,61.000000,39.000000,0.000000,11.701814,0.117018
GC-1.onnx,0.070000,58.000000,42.000000,0.000000,25.464258,0.254643
GC-1.onnx,0.100000,55.000000,45.000000,0.000000,59.610394,0.596104
GC-2.onnx,0.000000,77.000000,23.000000,0.000000,0.921172,0.009212
GC-2.onnx,0.020000,73.000000,27.000000,0.000000,8.517046,0.085170
GC-2.onnx,0.030000,72.000000,28.000000,0.000000,17.097135,0.170971
GC-2.onnx,0.050000,69.000000,31.000000,0.000000,69.322671,0.693227
GC-2.onnx,0.070000,64.000000,36.000000,0.000000,229.173188,2.291732
GC-2.onnx,0.100000,47.000000,32.000000,21.000000,604.008382,6.040084
GC-3.onnx,0.000000,74.000000,26.000000,0.000000,0.750413,0.007504
GC-3.onnx,0.020000,70.000000,30.000000,0.000000,0.849722,0.008497
GC-3.onnx,0.030000,69.000000,31.000000,0.000000,0.797000,0.007970
GC-3.onnx,0.050000,62.000000,38.000000,0.000000,1.088392,0.010884
GC-3.onnx,0.070000,58.000000,42.000000,0.000000,1.190861,0.011909
GC-3.onnx,0.100000,57.000000,43.000000,0.000000,1.222569,0.012226
