Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,-1.000000,84.900000,15.100000,0.000000,7.043520,0.007044
AC-1.onnx,0.000000,84.000000,16.000000,0.000000,6.636935,0.006637
AC-1.onnx,0.020000,77.600000,22.400000,0.000000,10.710313,0.010710
AC-1.onnx,0.030000,73.600000,26.400000,0.000000,13.091132,0.013091
AC-1.onnx,0.050000,64.700000,35.300000,0.000000,18.245529,0.018246
AC-1.onnx,0.070000,55.700000,44.300000,0.000000,24.431369,0.024431
AC-1.onnx,0.100000,46.100000,53.900000,0.000000,37.734194,0.037734
AC-10.onnx,-1.000000,85.000000,15.000000,0.000000,7.487258,0.007487
AC-10.onnx,0.000000,82.500000,17.500000,0.000000,7.533874,0.007534
AC-10.onnx,0.020000,77.900000,22.100000,0.000000,13.574317,0.013574
AC-10.onnx,0.030000,75.800000,24.200000,0.000000,17.165665,0.017166
AC-10.onnx,0.050000,72.100000,27.900000,0.000000,24.603025,0.024603
AC-10.onnx,0.070000,67.600000,32.400000,0.000000,38.805876,0.038806
AC-10.onnx,0.100000,60.500000,39.500000,0.000000,84.905720,0.084906
AC-3.onnx,-1.000000,84.200000,15.800000,0.000000,5.460480,0.005460
AC-3.onnx,0.000000,84.300000,15.700000,0.000000,5.443760,0.005444
AC-3.onnx,0.020000,80.000000,20.000000,0.000000,33.147305,0.033147
AC-3.onnx,0.030000,78.600000,21.400000,0.000000,59.800991,0.059801
AC-3.onnx,0.050000,68.300000,22.600000,9.100000,126.278652,0.126279
AC-3.onnx,0.070000,73.300000,26.700000,0.000000,245.104762,0.245105
AC-3.onnx,0.100000,68.000000,30.400000,1.600000,600.440339,0.600440
AC-4.onnx,-1.000000,84.300000,15.700000,0.000000,6.703199,0.006703
AC-4.onnx,0.000000,84.200000,15.800000,0.000000,6.701913,0.006702
AC-4.onnx,0.020000,79.100000,20.900000,0.000000,67.052995,0.067053
AC-4.onnx,0.030000,79.000000,21.000000,0.000000,159.344703,0.159345
AC-4.onnx,0.050000,77.300000,22.700000,0.000000,561.913103,0.561913
AC-4.onnx,0.070000,29.200000,14.000000,56.800000,606.719470,0.606719
AC-4.onnx,0.100000,7.900000,6.300000,85.800000,600.721684,0.600722
AC-5.onnx,-1.000000,84.800000,15.200000,0.000000,6.394322,0.006394
AC-5.onnx,0.000000,81.900000,18.100000,0.000000,6.474256,0.006474
AC-5.onnx,0.020000,80.200000,19.800000,0.000000,95.229986,0.095230
AC-5.onnx,0.030000,79.200000,20.800000,0.000000,239.332452,0.239332
AC-5.onnx,0.050000,44.500000,15.100000,40.400000,599.983817,0.599984
AC-5.onnx,0.070000,16.300000,6.600000,77.100000,616.971235,0.616971
AC-5.onnx,0.100000,6.400000,3.400000,90.200000,601.551743,0.601552
