Model,Epsilon,FairPercent,NonFairPercent,UnknownPercent,TotalTime,AvgTime
AC-1.onnx,-1.000000,90.000000,10.000000,0.000000,0.704308,0.007043
AC-1.onnx,0.000000,89.000000,11.000000,0.000000,0.655585,0.006556
AC-1.onnx,0.020000,85.000000,15.000000,0.000000,0.843722,0.008437
AC-1.onnx,0.030000,83.000000,17.000000,0.000000,1.052991,0.010530
AC-1.onnx,0.050000,76.000000,24.000000,0.000000,1.467311,0.014673
AC-1.onnx,0.070000,61.000000,39.000000,0.000000,2.283628,0.022836
AC-1.onnx,0.100000,47.000000,53.000000,0.000000,4.011856,0.040119
AC-10.onnx,-1.000000,89.000000,11.000000,0.000000,0.783648,0.007836
AC-10.onnx,0.000000,88.000000,12.000000,0.000000,0.830863,0.008309
AC-10.onnx,0.020000,85.000000,15.000000,0.000000,1.446224,0.014462
AC-10.onnx,0.030000,82.000000,18.000000,0.000000,1.751396,0.017514
AC-10.onnx,0.050000,80.000000,20.000000,0.000000,2.606735,0.026067
AC-10.onnx,0.070000,74.000000,26.000000,0.000000,4.135755,0.041358
AC-10.onnx,0.100000,73.000000,27.000000,0.000000,7.648702,0.076487
AC-3.onnx,-1.000000,87.000000,13.000000,0.000000,0.618528,0.006185
AC-3.onnx,0.000000,87.000000,13.000000,0.000000,0.610166,0.006102
AC-3.onnx,0.020000,86.000000,14.000000,0.000000,3.614305,0.036143
AC-3.onnx,0.030000,86.000000,14.000000,0.000000,5.808755,0.058088
AC-3.onnx,0.050000,84.000000,16.000000,0.000000,13.180524,0.131805
AC-3.onnx,0.070000,84.000000,16.000000,0.000000,26.508136,0.265081
AC-3.onnx,0.100000,81.000000,19.000000,0.000000,68.800282,0.688003
AC-4.onnx,-1.000000,88.000000,12.000000,0.000000,0.726277,0.007263
AC-4.onnx,0.000000,88.000000,12.000000,0.000000,0.735722,0.007357
AC-4.onnx,0.020000,86.000000,14.000000,0.000000,5.583700,0.055837
AC-4.onnx,0.030000,81.000000,19.000000,0.000000,12.674494,0.126745
AC-4.onnx,0.050000,82.000000,18.000000,0.000000,53.888341,0.538883
AC-4.onnx,0.070000,77.000000,23.000000,0.000000,139.327335,1.393273
AC-4.onnx,0.100000,17.000000,13.000000,70.000000,123.618828,1.236188
AC-5.onnx,-1.000000,90.000000,10.000000,0.000000,0.667658,0.006677
AC-5.onnx,0.000000,88.000000,12.000000,0.000000,0.668233,0.006682
AC-5.onnx,0.020000,87.000000,13.000000,0.000000,7.127037,0.071270
AC-5.onnx,0.030000,86.000000,14.000000,0.000000,18.864457,0.188645
AC-5.onnx,0.050000,83.000000,17.000000,0.000000,80.288487,0.802885
AC-5.onnx,0.070000,77.000000,23.000000,0.000000,222.010962,2.220110
AC-5.onnx,0.100000,65.000000,33.000000,2.000000,602.568176,6.025682
